dbn,address,school_name,school_type,enrollment,survey_pp_RI,survey_pp_CT,survey_pp_SE,survey_pp_ES,survey_pp_SF,survey_pp_TR,gender_female_pct,gender_male_pct,asian,black,hispanic,native,pacific,white,attendance,val_chronic_absent_hs_allgf,val_chronic_absent_hs_allgm,Graduation,val_pct_cer_6mo_allgf,val_pct_cer_6mo_allgm,val_pct_cer_6mo_coll_2yr_all,val_pct_cer_6mo_coll_4yr_all,val_pct_cer_6mo_coll_oost_all,val_pct_cer_6mo_coll_priv_all,val_pct_cer_6mo_coll_publ_all,val_pct_cer_6mo_other_all,CollegeSat,APScoreQualified,val_pct_cpci_other_college_all,satMath,satWrt
10X374,"500 E Fordham Rd, The Bronx, NY 10458",Knowledge and Power Preparatory Academy Internatio,High School,401,0.8,0.9,0.88,0.9,0.92,0.95,0.586,0.414,0.027,0.267,0.671,0.005,0,0.022,0.856,0.613,0.491,1,0.759,0.66,0.305,0.238,0.038,0.048,0.086,0,0.109,0,0.3,430,438
10X433,"2780 Reservoir Ave, The Bronx, NY 10468",High School for Teaching and the Professions,High School,408,0.69,0.9,0.86,0.93,0.95,0.93,0.505,0.495,0.015,0.127,0.824,0.007,0.002,0.022,0.894,0.665,0.563,0.792,0.534,0.339,0.258,0.075,0.017,0.067,0.017,0,0.01,0.141,0.165,395,410
10X434,"500 E Fordham Rd, The Bronx, NY 10458",Belmont Preparatory High School,High School,398,0.91,0.9,0.95,0.91,0.87,0.92,0.513,0.487,0.033,0.231,0.671,0.008,0.018,0.028,0.822,0.642,0.479,0.758,0.755,0.487,0.25,0.207,0.022,0.109,0.054,0,0.077,0.165,0.22,422,433
10X437,"500 E Fordham Rd, The Bronx, NY 10458",Fordham High School for the Arts,High School,399,0.87,0.95,0.88,0.96,0.91,0.92,0.667,0.333,0.018,0.323,0.607,0.013,0.003,0.03,0.917,0.789,0.746,0.952,0.843,0.75,0.194,0.284,0.045,0.149,0.149,0,0.286,0.637,0.81,486,473
10X438,"500 E Fordham Rd, The Bronx, NY 10458",Fordham Leadership Academy,High School,413,0.74,0.8,0.85,0.8,0.89,0.88,0.533,0.467,0.01,0.235,0.724,0.002,0.005,0.017,0.955,0.905,0.851,1,0.759,0.7,0.333,0.145,0.043,0.13,0.072,0,0.062,0.3,0.292,398,395
10X439,"500 E Fordham Rd, The Bronx, NY 10458",Bronx High School for Law and Community Service,High School,408,No Data,No Data,No Data,0.95,0.98,1,0.542,0.458,0.012,0.255,0.703,0.012,0.002,0.015,0.911,0.757,0.679,0.976,0.732,0.686,0.198,0.187,0.033,0.132,0.165,0,0.131,0.214,0.155,439,446
10X440,"100 W Mosholu Pkwy S, The Bronx, NY 10468",DeWitt Clinton High School,High School,964,0.74,0.78,0.78,0.8,0.82,0.85,0.462,0.538,0.098,0.303,0.531,0.019,0.011,0.026,0.857,0.658,0.588,0.908,0.647,0.506,0.176,0.166,0.066,0.06,0.103,0,0.166,0.171,0.8,454,448
10X442,"2780 Reservoir Ave, The Bronx, NY 10468","Celia Cruz Bronx High School of Music, The",High School,456,0.78,0.93,0.81,0.95,0.88,0.93,0.621,0.379,0.011,0.314,0.623,0.015,0,0.02,0.946,0.887,0.847,1,0.825,0.742,0.266,0.17,0.064,0.096,0.202,0,0.143,0.258,0.319,439,448
10X445,"75 W 205th St, The Bronx, NY 10468",The Bronx High School of Science,High School,2936,0.82,0.89,0.8,0.93,0.86,0.92,0.432,0.568,0.634,0.032,0.078,0.01,0.01,0.209,0.981,0.976,0.959,1,0.958,0.95,0,0.126,0.391,0.238,0.197,0,0.945,0.918,0.35,750,698
10X477,"99 Terrace View Ave, The Bronx, NY 10463",Marble Hill High School for International Studies,High School,444,0.74,0.85,0.86,0.87,0.93,0.94,0.547,0.453,0.131,0.126,0.669,0.023,0.009,0.034,0.894,0.712,0.617,0.991,0.892,0.688,0.142,0.31,0.115,0.115,0.124,0,0.311,0.415,0.038,480,466
11X299,"25 Astor Ave, The Bronx, NY 10469",Astor Collegiate Academy,High School,484,0.74,0.9,0.82,0.9,0.91,0.93,0.444,0.556,0.064,0.262,0.492,0.012,0.004,0.149,0.833,0.696,0.533,0.793,0.755,0.571,0.248,0.174,0.018,0.128,0.083,0,0.14,0.145,0.07,431,444
10X524,"2474 Crotona Ave, The Bronx, NY 10458",Crotona International High School,High School,304,0.83,0.8,0.84,0.82,0.99,0.9,0.47,0.53,0.03,0.033,0.934,0,0.003,0,0.834,0.524,0.448,0.868,0.659,0.45,0.42,0.037,0,0.074,0.025,0,0.011,0.148,0.143,343,365
10X546,"99 Terrace View Ave, The Bronx, NY 10463",Bronx Theatre High School,High School,314,0.77,0.91,0.83,0.96,0.87,0.93,0.662,0.338,0.006,0.347,0.596,0.016,0.003,0.019,0.873,0.702,0.583,0.882,0.657,0.467,0.351,0.031,0,0.062,0.155,0,0.039,0.164,0.013,395,411
10X549,"2780 Reservoir Avenue, Bronx, NY 10468",Discovery High School,High School,466,0.77,0.94,0.86,0.99,0.92,0.96,0.448,0.552,0.032,0.172,0.766,0.004,0.004,0.017,0.909,0.731,0.643,0.908,0.725,0.379,0.193,0.156,0,0.037,0.156,0,0.092,0.17,0.174,419,413
10X565,"2474 Crotona Ave, The Bronx, NY 10458",High School for Energy and Technology,High School,417,0.74,0.92,0.82,0.94,0.88,0.92,0.259,0.741,0.05,0.204,0.715,0.005,0,0.019,0.941,0.794,0.845,0.962,0.588,0.444,0.325,0.025,0.038,0.038,0.025,0,0.063,0.163,0.125,416,423
10X696,"2925 Goulden Ave, The Bronx, NY 10468",High School of American Studies at Lehman College,High School,382,0.85,0.88,0.85,0.94,0.91,0.93,0.563,0.437,0.223,0.068,0.16,0.008,0.008,0.458,0.994,0.995,0.988,0.989,0.941,0.945,0,0.132,0.538,0.16,0.104,0,0.892,1,0.903,716,713
11X249,"750 Baychester Ave, The Bronx, NY 10475",Bronx Health Sciences High School,High School,334,0.75,0.88,0.83,0.95,0.93,0.92,0.584,0.416,0.063,0.506,0.341,0.039,0.015,0.027,0.935,0.867,0.797,0.983,0.813,0.818,0.278,0.093,0.074,0.222,0.148,0,0.25,0.442,0.45,473,474
26Q315,"230-17 Hillside Avenue, Queens, NY 11427",Business Technology Early College High School,High School,548,0.79,0.96,0.87,0.98,0.94,0.97,0.316,0.684,0.217,0.443,0.201,0.047,0.011,0.042,0.886,0.769,0.588,0.983,0.9,0.721,0.13,0.148,0.102,0.065,0.093,0.241,0.225,0.154,0.625,475,472
11X253,"800 E Gun Hill Rd, The Bronx, NY 10467",Bronx High School for Writing and Communication Ar,High School,271,0.73,0.93,0.82,0.97,0.89,0.93,0.506,0.494,0.018,0.428,0.494,0.004,0.007,0.041,0.876,0.785,0.632,0.73,0.385,0.279,0.122,0,0,0.134,0.073,0,0.056,0.112,0.124,408,409
11X265,"800 E Gun Hill Rd, The Bronx, NY 10467",Bronx Lab School,High School,301,0.82,0.9,0.89,0.9,0.97,0.93,0.409,0.591,0.017,0.382,0.545,0.01,0.003,0.043,0.584,0.101,0.032,0.795,0.5,0.538,0.268,0.049,0.049,0.024,0.122,0,0.034,0.006,0.25,396,408
11X270,"921 E 228th St, The Bronx, NY 10466",Academy for Scholarship and Entrepreneurship: A Co,High School,359,0.74,0.92,0.82,0.96,0.92,0.93,0.476,0.524,0.008,0.638,0.298,0.017,0.003,0.025,0.857,0.5,0.557,0.795,0.646,0.5,0.262,0.083,0.012,0.155,0.071,0,0.057,0.119,0.659,401,412
11X275," 800 E Gun Hill Rd, The Bronx, NY 10467",High School of Computers and Technology,High School,498,0.74,0.95,0.81,0.94,0.87,0.92,0.159,0.841,0.072,0.361,0.502,0.012,0.014,0.028,0.846,0.768,0.599,0.821,0.684,0.612,0.287,0.213,0.008,0.033,0.082,0,0.162,0.209,0.231,454,465
11X288,"925 Astor Ave, The Bronx, NY 10469",Collegiate Institute for Math and Science,High School,587,0.75,0.87,0.85,0.93,0.89,0.92,0.412,0.588,0.124,0.31,0.392,0.012,0.009,0.15,0.842,0.68,0.546,0.881,0.841,0.695,0.172,0.245,0.066,0.192,0.086,0,0.316,0.359,0.145,502,488
11X290,"800 E Gun Hill Rd, The Bronx, NY 10467",Bronx Academy of Health Careers,High School,383,0.76,0.91,0.79,0.91,0.85,0.92,0.611,0.389,0.021,0.407,0.514,0.008,0.008,0.031,0.805,0.527,0.426,0.917,0.653,0.393,0.208,0.117,0,0.104,0.13,0,0.06,0.089,0.286,408,423
11X418,"2040 Antin Pl, The Bronx, NY 10462",Bronx High School for the Visual Arts,High School,479,0.7,0.75,0.79,0.78,0.88,0.84,0.497,0.503,0.021,0.221,0.639,0.006,0.008,0.098,0.814,0.556,0.55,0.811,0.512,0.386,0.235,0.082,0.02,0.051,0.051,0,0.081,0.171,0.033,425,435
11X455,"750 Baychester Ave, The Bronx, NY 10475",Harry S Truman High School,High School,2229,0.74,0.9,0.8,0.94,0.83,0.92,0.418,0.582,0.029,0.466,0.441,0.019,0.005,0.035,0.801,0.465,0.387,0.828,0.555,0.399,0.157,0.099,0.041,0.099,0.074,0,0.082,0.088,0.394,427,440
11X508,"925 Astor Ave, The Bronx, NY 10469",Bronxdale High School,High School,459,0.8,0.96,0.88,0.97,0.9,0.96,0.481,0.519,0.046,0.292,0.56,0,0.004,0.089,0.816,0.579,0.404,0.813,0.704,0.661,0.216,0.164,0.034,0.138,0.129,0,0.056,0.105,0.306,425,432
11X509,"925 Astor Ave, The Bronx, NY 10469",High School of Language and Innovation,High School,369,0.77,0.95,0.84,0.95,0.91,0.95,0.423,0.577,0.152,0.095,0.545,0.011,0.014,0.179,0.892,0.776,0.613,0.945,0.722,0.458,0.31,0.226,0,0.036,0,0,0.036,0.377,0.064,396,388
11X513,"921 E 228th St, The Bronx, NY 10466",New World High School,High School,357,0.79,0.86,0.9,0.9,0.97,0.93,0.532,0.468,0.09,0.12,0.675,0.008,0.011,0.092,0.888,0.672,0.523,0.859,0.809,0.472,0.313,0.193,0.024,0,0.133,0,0.197,0.408,0.254,451,410
11X514,"921 E 228th St, The Bronx, NY 10466",The Bronxwood Preparatory Academy,High School,353,0.78,0.96,0.83,0.95,0.89,0.92,0.527,0.473,0.028,0.535,0.348,0.034,0.008,0.042,0.856,0.665,0.588,0.849,0.587,0.293,0.173,0.048,0.038,0.154,0.058,0,0.035,0.192,0.186,409,424
11X542," 925 Astor Ave, The Bronx, NY 10469",Pelham Preparatory Academy,High School,502,0.77,0.91,0.84,0.91,0.86,0.9,0.458,0.542,0.072,0.287,0.538,0.018,0.004,0.068,0.887,0.778,0.549,0.919,0.883,0.857,0.374,0.276,0.049,0.089,0.081,0,0.185,0.23,0.298,448,457
11X544,"800 E Gun Hill Rd, The Bronx, NY 10467",High School for Contemporary Arts,High School,322,0.79,0.96,0.8,0.96,0.93,0.94,0.615,0.385,0.009,0.401,0.537,0.012,0,0.031,0.839,0.654,0.519,0.78,0.441,0.327,0.208,0.05,0.008,0.075,0.05,0,0.018,0.118,0.045,379,404
11X545,"800 E Gun Hill Rd, The Bronx, NY 10467",Bronx Aerospace High School,High School,206,0.78,0.94,0.84,0.96,0.83,0.92,0.228,0.772,0.039,0.325,0.573,0.005,0.024,0.024,0.877,0.8,0.685,0.8,No Data,0.4,0.216,0.135,0,0.027,0.041,0,0.09,0.147,0.231,411,402
12X242,"1551 E 172nd St, The Bronx, NY 10472",Mott Hall V,High School,377,0.73,0.88,0.86,0.9,0.93,0.92,0.523,0.477,0.05,0.154,0.78,0.005,0.005,0.005,0.878,0.68,0.6,0.957,0.826,0.465,0.326,0.067,0.034,0.079,0.146,0,0.118,0.263,0.258,436,444
