dbn,address,school_name,school_type,enrollment,survey_pp_RI,survey_pp_CT,survey_pp_SE,survey_pp_ES,survey_pp_SF,survey_pp_TR,gender_female_pct,gender_male_pct,asian,black,hispanic,native,pacific,white,attendance,val_chronic_absent_hs_allgf,val_chronic_absent_hs_allgm,Graduation,val_pct_cer_6mo_allgf,val_pct_cer_6mo_allgm,val_pct_cer_6mo_coll_2yr_all,val_pct_cer_6mo_coll_4yr_all,val_pct_cer_6mo_coll_oost_all,val_pct_cer_6mo_coll_priv_all,val_pct_cer_6mo_coll_publ_all,val_pct_cer_6mo_other_all,CollegeSat,APScoreQualified,val_pct_cpci_other_college_all,satMath,satWrt
19K764,"999 Jamaica Ave, Brooklyn, NY 11208",The Urban Assembly School for Collaborative Health,High School,346,0.79,0.92,0.86,0.92,0.89,0.92,0.65,0.35,0.118,0.263,0.509,0.02,0.012,0.035,0.813,0.502,0.328,0.899,0.745,0.667,0.243,0.284,0.054,0.027,0.108,0,0.124,0.163,0.022,439,444
19K953,"800 Van Siclen Ave, Brooklyn, NY 11207",The East New York Arts and Civics High School,High School,164,0.67,0.86,0.89,0.88,0.91,0.96,0.482,0.518,0.006,0.683,0.256,0.012,0,0.037,0.804,0.536,0.419,0.823,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0.163,0,0
20K445,"1601 80th St, Brooklyn, NY 11214",New Utrecht High School,High School,3572,0.71,0.87,0.78,0.88,0.83,0.9,0.433,0.567,0.387,0.03,0.336,0.004,0.004,0.233,0.784,0.645,0.538,0.742,0.751,0.572,0.261,0.272,0.015,0.036,0.067,0,0.376,0.282,0.344,517,475
20K485,"350 67th St, Brooklyn, NY 11220",High School of Telecommunication Arts and Technolo,High School,1269,0.77,0.91,0.87,0.9,0.83,0.93,0.4,0.6,0.277,0.039,0.459,0.002,0.004,0.192,0.867,0.692,0.629,0.964,0.873,0.728,0.33,0.33,0.01,0.041,0.076,0,0.414,0.464,0.697,510,490
20K490,"8301 Shore Rd, Brooklyn, NY 11209",Fort Hamilton High School,High School,4678,0.75,0.91,0.77,0.93,0.79,0.9,0.475,0.525,0.285,0.025,0.317,0.003,0.004,0.347,0.898,0.836,0.725,0.822,0.738,0.543,0.202,0.26,0.032,0.076,0.067,0,0.405,0.282,0.17,515,493
20K505,"5800 20th Ave, Brooklyn, NY 11204",Franklin Delano Roosevelt High School,High School,3304,0.7,0.8,0.76,0.77,0.8,0.84,0.406,0.594,0.343,0.104,0.366,0.005,0.006,0.166,0.793,0.605,0.511,0.76,0.615,0.442,0.247,0.205,0.012,0.03,0.022,0,0.269,0.247,0.41,489,449
20K609,"4200 16th Ave, Brooklyn, NY 11204",Urban Assembly School for Leadership and Empowerme,High School,361,0.78,0.89,0.81,0.85,0.87,0.9,1,0,0.485,0.125,0.169,0.008,0.025,0.175,0.92,0.755,0,0.929,0.848,No Data,0.288,0.333,0.015,0.152,0.061,0,0.333,0.448,0.276,492,492
21K337,"2630 Benson Ave, Brooklyn, NY 11214",International High School at Lafayette,High School,317,0.75,0.84,0.87,0.84,0.89,0.89,0.442,0.558,0.23,0.038,0.479,0,0.009,0.237,0.794,0.611,0.455,0.722,0.677,0.412,0.28,0.183,0,0.049,0,0,0.133,0.178,0.356,427,397
21K344,"521 West Ave, Brooklyn, NY 11224",Rachel Carson High School for Coastal Studies,High School,574,0.73,0.86,0.8,0.79,0.81,0.82,0.462,0.538,0.188,0.113,0.199,0.007,0.007,0.463,0.868,0.742,0.588,0.887,0.724,0.452,0.254,0.172,0.012,0.036,0.101,0,0.232,0.166,0.411,475,456
21K348,"2630 Benson Ave, Brooklyn, NY 11214",High School of Sports Management,High School,277,0.71,0.86,0.8,0.89,0.88,0.9,0.227,0.773,0.119,0.354,0.339,0.014,0.011,0.152,0.692,0.397,0.269,0.714,No Data,0.509,0.194,0.179,0.03,0.015,0.119,0,0.052,0.019,0.351,420,407
21K410,"2800 Ocean Pkwy, Brooklyn, NY 11235",Abraham Lincoln High School,High School,1817,0.75,0.89,0.81,0.89,0.82,0.88,0.423,0.577,0.142,0.409,0.271,0.009,0.009,0.147,0.86,0.71,0.576,0.864,0.726,0.525,0.307,0.173,0.032,0.042,0.055,0,0.116,0.148,0.455,442,438
21K468,"2630 Benson Ave Floor 1, Brooklyn, NY 11214",Kingsborough Early College School,High School,426,0.79,0.97,0.79,0.98,0.91,0.91,0.477,0.523,0.07,0.27,0.315,0,0.002,0.317,0.921,0.798,0.749,1,0.897,0.638,0.07,0.43,0.081,0.07,0.105,0,0.374,0.033,1,507,500
21K525,"1600 Avenue L, Brooklyn, NY 11230",Edward R. Murrow High School,High School,3691,0.71,0.84,0.78,0.84,0.86,0.88,0.571,0.429,0.268,0.176,0.193,0.006,0.005,0.308,0.859,0.744,0.65,0.87,0.785,0.683,0.211,0.291,0.055,0.081,0.108,0,0.362,0.35,0.461,505,494
21K540,"50 Avenue X #366, Brooklyn, NY 11223",John Dewey High School,High School,2276,0.73,0.89,0.79,0.91,0.8,0.91,0.515,0.485,0.273,0.286,0.26,0.005,0.007,0.154,0.788,0.564,0.512,0.838,0.651,0.559,0.248,0.196,0.023,0.056,0.082,0,0.248,0.274,0.42,477,458
21K559,"2630 Benson Ave, Brooklyn, NY 11214",Life Academy High School for Film and Music,High School,254,0.58,0.63,0.69,0.71,0.82,0.78,0.508,0.492,0.091,0.327,0.472,0,0.004,0.091,0.826,0.617,0.444,0.966,0.676,0.368,0.236,0.111,0.042,0.042,0.083,0,0.068,0.237,0.169,428,437
21K572,"2630 Benson Ave, Brooklyn, NY 11214",Leaders High School,High School,400,0.83,0.89,0.87,0.87,0.94,0.93,0.463,0.538,0.13,0.158,0.415,0.003,0.005,0.26,0.822,0.602,0.526,0.932,0.787,0.644,0.207,0.283,0.033,0.12,0.076,0,0.136,0.068,0,440,456
21K620,"25 Brighton 4th Rd, Brooklyn, NY 11235",William E. Grady Career and Technical Education Hi,High School,511,0.75,0.96,0.86,0.98,0.91,0.97,0.284,0.716,0.092,0.456,0.286,0,0,0.147,0.722,0.459,0.415,0.753,0.619,0.341,0.223,0.068,0.01,0.01,0.078,0,0.054,0.145,0,408,414
21K690,"8310 21st Ave, Brooklyn, NY 11214",Brooklyn Studio Secondary School,High School,605,0.75,0.78,0.79,0.78,0.85,0.83,0.456,0.544,0.225,0.036,0.289,0,0.005,0.44,0.832,0.64,0.527,0.878,0.737,0.639,0.336,0.299,0.007,0.029,0.022,0,0.189,0.223,0.239,466,471
22K405,"2839 Bedford Ave, Brooklyn, NY 11210",Midwood High School,High School,4109,0.68,0.69,0.71,0.69,0.8,0.8,0.561,0.439,0.343,0.256,0.133,0.003,0.01,0.225,0.912,0.832,0.713,0.955,0.908,0.752,0.124,0.402,0.058,0.113,0.145,0,0.596,0.503,0.166,553,531
22K425,"3787 Bedford Ave, Brooklyn, NY 11229",James Madison High School,High School,3851,0.75,0.9,0.79,0.94,0.86,0.92,0.427,0.573,0.203,0.128,0.175,0.008,0.007,0.471,0.903,0.807,0.72,0.918,0.814,0.659,0.285,0.286,0.032,0.06,0.058,0,0.368,0.309,0.235,502,475
22K535,"1830 Shore Blvd, Brooklyn, NY 11235",Leon M. Goldstein High School for the Sciences,High School,1002,0.85,0.93,0.88,0.92,0.89,0.95,0.569,0.431,0.259,0.086,0.101,0.003,0.007,0.513,0.876,0.686,0.563,0.954,0.881,0.867,0.088,0.355,0.099,0.198,0.134,0,0.817,0.802,0.875,638,595
22K555," 350 Coney Island Ave, Brooklyn, NY 11218",Brooklyn College Academy,High School,661,0.81,0.96,0.86,0.96,0.93,0.96,0.62,0.38,0.083,0.72,0.121,0.006,0.002,0.045,0.907,0.839,0.697,0.974,0.964,0.875,0.066,0.444,0.232,0.106,0.086,0,0.649,0.276,0.968,552,535
22K611,"3000 Avenue X, Brooklyn, NY 11235",Origins High School,High School,413,0.75,0.9,0.83,0.9,0.86,0.91,0.404,0.596,0.215,0.259,0.126,0.015,0.027,0.351,0.742,0.446,0.268,0.928,0.81,0.528,0.293,0.267,0.017,0.052,0.052,0,0.181,0.163,0.133,442,423
23K493,"2021 Bergen St, Brooklyn, NY 11233",Brooklyn Collegiate: A College Board School,High School,368,0.76,0.9,0.85,0.91,0.93,0.94,0.484,0.516,0.022,0.766,0.179,0.008,0.005,0.014,0.789,0.522,0.505,0.889,0.78,0.548,0.157,0.157,0.12,0.024,0.169,0,0.014,0.097,0.236,385,401
23K514,"226 Bristol St, Brooklyn, NY 11212",Frederick Douglass Academy VII High School,High School,142,0.81,0.9,0.87,0.99,0.93,0.95,0.521,0.479,0.014,0.838,0.127,0.007,0,0.014,0.891,0.662,0.729,1,0.706,No Data,0.333,0.148,0.037,0.037,0.148,0,0.077,0.192,0.038,423,438
23K644,"1137 Herkimer St, Brooklyn, NY 11233",Eagle Academy for Young Men II,High School,379,0.82,0.98,0.84,1,0.95,0.96,0,1,0.005,0.863,0.108,0.008,0,0.008,0.951,No Data,0.897,0.95,No Data,0.6,0.074,0.042,0.147,0.053,0.284,0,0.113,0.063,0.025,421,436
23K697,"226 Bristol St, Brooklyn, NY 11212",Teachers Preparatory High School,High School,158,0.75,0.85,0.83,0.88,0.91,0.88,0.411,0.589,0.051,0.696,0.209,0,0.006,0.032,0.811,0.523,0.464,0.784,0.3,0.16,0.111,0.111,0,0,0,0,0,0.024,0,369,386
24Q236,"48-01 90th St, Queens, NY 11421",International High School for Health Sciences,High School,261,0.76,0.83,0.85,0.88,0.91,0.91,0.536,0.464,0.18,0.042,0.736,0.008,0.004,0.031,0.778,0.493,0.304,0.824,0.577,0.444,0.258,0.21,0,0.016,0.016,0,0.074,0.096,0.353,423,412
24Q264,"30-20 Thomson Ave, Queens, NY 11101",Academy of Finance and Enterprise,High School,745,0.8,0.89,0.86,0.89,0.9,0.91,0.471,0.529,0.243,0.038,0.519,0.016,0.005,0.14,0.958,0.952,0.896,0.974,0.913,0.769,0.146,0.484,0,0.153,0.07,0,0.489,0.371,0.295,529,509
24Q267,"30-20 Thomson Ave, Queens, NY 11101",High School of Applied Communication,High School,396,0.81,0.93,0.84,0.95,0.88,0.93,0.434,0.566,0.131,0.076,0.682,0.003,0.003,0.081,0.865,0.749,0.643,0.988,0.7,0.457,0.385,0.115,0,0.031,0.052,0,0.133,0.446,0.241,428,432
24Q293,"45-10 94th St, Queens, NY 11373",Civic Leadership Academy,High School,656,0.74,0.87,0.86,0.92,0.89,0.92,0.537,0.463,0.16,0.041,0.709,0.002,0.006,0.044,0.927,0.793,0.761,0.951,0.918,0.567,0.271,0.376,0.008,0.075,0.023,0,0.261,0.278,0.507,466,458
24Q296,"45-10 94th St, Queens, NY 11373",Pan American International High School,High School,358,0.81,0.97,0.9,0.98,0.95,0.98,0.444,0.556,0.003,0.008,0.983,0.003,0,0.003,0.949,0.856,0.847,0.95,0.462,0.246,0.27,0.03,0.01,0.01,0.01,0,0.04,0.465,0.59,399,395
24Q299,"30-20 Thomson Ave, Queens, NY 11101",Bard High School Early College Queens,High School,652,0.84,0.76,0.83,0.8,0.87,0.84,0.626,0.374,0.311,0.143,0.229,0.008,0.006,0.285,0.908,0.71,0.676,0.981,0.99,0.965,0,0.255,0.275,0.157,0.183,0.111,0.931,0,1,682,655
24Q455,"48-01 90th St, Queens, NY 11373",Newtown High School,High School,1645,0.73,0.9,0.8,0.9,0.84,0.93,0.412,0.588,0.233,0.074,0.612,0.009,0.01,0.05,0.835,0.653,0.548,0.745,0.693,0.507,0.326,0.186,0.007,0.034,0.018,0,0.134,0.279,0.134,453,435
24Q485,"21-27 Himrod St, Queens, NY 11385",Grover Cleveland High School,High School,1582,0.72,0.88,0.81,0.89,0.85,0.9,0.446,0.554,0.087,0.064,0.638,0.007,0.007,0.181,0.82,0.613,0.463,0.784,0.557,0.305,0.228,0.129,0.015,0.028,0.026,0,0.15,0.202,0.245,456,447
24Q520,"45-35 Van Dam St, Queens, NY 11101",Middle College High School at LaGuardia Community,High School,515,0.82,0.83,0.9,0.86,0.88,0.92,0.528,0.472,0.091,0.031,0.806,0,0.002,0.068,0.888,0.673,0.589,0.845,0.843,0.673,0.087,0.126,0.01,0.019,0.049,0.466,0.073,0,0.927,437,456
24Q530,"45-35 Van Dam St, Queens, NY 11101",International High School at LaGuardia Community C,High School,513,0.91,0.9,0.93,0.9,0.97,0.94,0.53,0.47,0.189,0.019,0.708,0.004,0,0.08,0.9,0.757,0.672,0.905,0.836,0.706,0.125,0.143,0.018,0.045,0,0.429,0.095,0,0.648,412,409
24Q550,"105-25 Horace Harding Expy, Queens, NY 11368",High School for Arts and Business,High School,766,0.79,0.91,0.86,0.92,0.83,0.91,0.526,0.474,0.114,0.065,0.742,0.005,0.003,0.047,0.937,0.868,0.806,0.966,0.771,0.633,0.364,0.254,0.012,0.035,0.035,0,0.264,0.497,0.58,474,458
24Q560,"47-07 30th Pl, Queens, NY 11101","Robert F. Wagner, Jr. Secondary School for Arts an",High School,460,0.73,0.65,0.86,0.69,0.89,0.81,0.417,0.583,0.191,0.054,0.58,0.002,0.002,0.146,0.837,0.594,0.554,0.957,0.935,0.831,0.244,0.244,0.071,0.22,0.102,0,0.33,0.426,0.122,493,496
24Q585," 54-40 74th St, Queens, NY 11373",Maspeth High School,High School,1216,0.78,0.9,0.85,0.92,0.86,0.9,0.51,0.49,0.166,0.018,0.516,0.004,0.002,0.234,0.847,0.601,0.471,0.993,0.908,0.762,0.141,0.355,0.046,0.191,0.095,0,0.403,0.526,0.433,503,503
24Q600,"37-02 47th Ave, Long Island City, NY 11101",Queens Technical High School,High School,1480,0.75,0.88,0.85,0.88,0.87,0.9,0.376,0.624,0.111,0.039,0.79,0.004,0.002,0.051,0.879,0.771,0.681,0.838,0.778,0.599,0.334,0.206,0.009,0.064,0.049,0,0.28,0.221,0.34,483,463
24Q610,"45-30 36th St, Queens, NY 11101",Aviation Career & Technical Education High School,High School,2011,0.76,0.86,0.82,0.9,0.81,0.9,0.196,0.804,0.362,0.037,0.458,0.009,0.008,0.106,0.971,0.94,0.942,0.985,0.951,0.908,0.152,0.29,0.025,0.084,0.061,0.283,0.699,0.429,0.601,564,526
25Q240,"35-01 Union St, Queens, NY 11354",Veritas Academy,High School,619,0.76,0.87,0.82,0.9,0.82,0.91,0.533,0.467,0.132,0.089,0.703,0.002,0.002,0.057,0.89,0.739,0.66,0.848,0.672,0.676,0.355,0.206,0.014,0.035,0.064,0,0.203,0.31,0.203,465,451
25Q241,"35-01 Union St, Queens, NY 11354",Queens High School for Language Studies,High School,443,0.81,0.92,0.89,0.95,0.91,0.97,0.567,0.433,0.573,0.047,0.307,0.002,0.005,0.036,0.858,0.667,0.568,0.914,0.909,0.795,0.238,0.467,0.01,0.076,0.076,0,0.457,0.49,0.067,529,472
25Q252," 158-40 76th Rd, Queens, NY 11366","Queens School of Inquiry, The",High School,350,0.8,0.92,0.84,0.91,0.92,0.93,0.52,0.48,0.386,0.163,0.217,0.006,0,0.197,0.916,0.819,0.685,0.939,0.875,0.867,0.082,0.482,0.059,0.094,0.153,0,0.549,0.421,0.841,539,545
25Q263,"144-80 Barclay Ave, Queens, NY 11355",Flushing International High School,High School,418,0.83,0.97,0.9,0.95,0.9,0.95,0.407,0.593,0.344,0.017,0.603,0.002,0.002,0.026,0.882,0.705,0.627,0.853,0.739,0.541,0.398,0.133,0.024,0.024,0.06,0,0.118,0.245,0.333,426,384
25Q281,"46-21 Colden St, Queens, NY 11355",East-West School of International Studies,High School,380,0.79,0.86,0.84,0.91,0.88,0.9,0.453,0.547,0.624,0.058,0.218,0.003,0.011,0.066,0.96,0.914,0.89,0.965,1,0.782,0.135,0.177,0.021,0.25,0.292,0,0.686,0.669,0.674,577,535
25Q285,"34-65 192nd St, Queens, NY 11358",World Journalism Preparatory: A College Board Scho,High School,350,0.77,0.93,0.81,0.93,0.89,0.94,0.589,0.411,0.163,0.057,0.411,0.003,0,0.334,0.929,0.814,0.806,1,0.913,0.824,0.25,0.175,0.013,0.238,0.188,0,0.333,0.56,0.81,485,518
25Q425,"63-25 Main St, Queens, NY 11367",John Bowne High School,High School,3294,0.7,0.86,0.75,0.88,0.83,0.89,0.487,0.513,0.288,0.188,0.435,0.011,0.004,0.057,0.81,0.663,0.584,0.791,0.694,0.456,0.237,0.185,0.022,0.049,0.082,0,0.21,0.299,0.203,468,459
25Q460,"35-01 Union St, Flushing, NY 11354",Flushing High School,High School,1415,0.7,0.77,0.78,0.82,0.86,0.85,0.479,0.521,0.167,0.143,0.623,0.014,0.005,0.03,0.804,0.571,0.41,0.834,0.646,0.426,0.289,0.122,0.034,0.036,0.052,0,0.097,0.197,0.285,434,423
25Q525,"149-11 Melbourne Ave, Queens, NY 11367",Townsend Harris High School,High School,1271,0.83,0.85,0.85,0.8,0.88,0.89,0.637,0.363,0.546,0.058,0.12,0.009,0.008,0.194,0.983,0.968,0.961,1,0.941,1,0.007,0.241,0.265,0.279,0.167,0,0.952,0.991,0.983,707,671
25Q670,"75-40 Parsons Blvd, Queens, NY 11366",Robert F. Kennedy Community High School,High School,654,0.74,0.85,0.83,0.88,0.84,0.88,0.453,0.547,0.329,0.107,0.401,0.008,0.009,0.13,0.855,0.695,0.645,0.88,0.789,0.656,0.36,0.199,0.032,0.048,0.081,0,0.291,0.275,0.297,485,455
26Q415,"57-00 223rd St, Queens, NY 11364",Benjamin N. Cardozo High School,High School,3405,0.73,0.92,0.74,0.9,0.84,0.89,0.54,0.46,0.418,0.215,0.223,0.009,0.005,0.12,0.906,0.748,0.621,0.936,0.886,0.687,0.167,0.204,0.087,0.144,0.187,0,0.516,0.473,0.133,547,524
26Q430,"58-20 Utopia Pkwy, Queens, NY 11365",Francis Lewis High School,High School,4424,0.79,0.93,0.81,0.95,0.85,0.93,0.483,0.517,0.575,0.047,0.211,0.005,0.003,0.151,0.923,0.841,0.758,0.949,0.841,0.764,0.153,0.284,0.042,0.141,0.183,0,0.637,0.571,0.202,591,537
26Q435,"230-17 Hillside Avenue, Queens, NY 11427",Martin Van Buren High School,High School,1140,0.77,0.87,0.82,0.85,0.86,0.91,0.432,0.568,0.299,0.389,0.205,0.04,0.015,0.027,0.824,0.621,0.48,0.877,0.838,0.581,0.354,0.191,0.033,0.057,0.069,0,0.143,0.154,0.405,438,441
26Q495,"32-24 Corporal Kennedy St, Queens, NY 11361",Bayside High School,High School,2949,0.78,0.93,0.81,0.93,0.85,0.92,0.481,0.519,0.416,0.125,0.259,0.023,0.004,0.159,0.935,0.855,0.779,0.994,0.884,0.811,0.195,0.218,0.086,0.152,0.192,0,0.477,0.375,0.973,527,501
26Q566,"74-20 Commonwealth Blvd, Queens, NY 11426","Queens High School of Teaching, Liberal Arts and t",High School,959,0.62,0.57,0.76,0.61,0.83,0.75,0.547,0.453,0.192,0.504,0.181,0.029,0.004,0.05,0.851,0.664,0.537,0.952,0.813,0.71,0.21,0.159,0.083,0.123,0.187,0,0.185,0.263,0.156,452,454
27Q260,"8-21 Bay 25th St, Far Rockaway, NY 11691",Frederick Douglass Academy VI High School,High School,254,0.68,0.87,0.76,0.89,0.8,0.93,0.469,0.531,0.008,0.469,0.496,0.016,0,0.008,0.555,0.238,0.174,0.488,0.22,0.115,0.108,0,0.02,0.01,0.02,0,0.012,0.012,0.012,387,397
27Q262,"100-00 Beach Channel Dr, Queens, NY 11694",Channel View School for Research,High School,704,0.78,0.9,0.82,0.89,0.88,0.89,0.467,0.533,0.06,0.408,0.395,0.006,0.006,0.115,0.932,0.86,0.711,0.993,0.845,0.759,0.248,0.232,0.04,0.072,0.216,0,0.1,0.32,0.487,441,468
27Q302,"8-21 Bay 25th St, Queens, NY 11691","Queens High School for Information, Research, and",High School,489,0.8,0.87,0.9,0.9,0.88,0.92,0.374,0.626,0.043,0.403,0.483,0.014,0.01,0.043,0.868,0.782,0.625,0.933,0.703,0.691,0.397,0.061,0.031,0.053,0.092,0,0.057,0.19,0.438,408,435
27Q308,"138-30 Lafayette St, Queens, NY 11417",Robert H. Goddard High School of Communication Art,High School,598,0.77,0.9,0.83,0.89,0.89,0.92,0.482,0.518,0.261,0.08,0.405,0.037,0.007,0.186,0.909,0.762,0.642,0.987,0.823,0.647,0.245,0.293,0.027,0.088,0.088,0,0.302,0.324,0.893,483,483
27Q309," 8-21 Bay 25th St, Queens, NY 11691",Academy of Medical Technology: A College Board Sch,High School,463,0.76,0.9,0.83,0.92,0.88,0.92,0.479,0.521,0.058,0.359,0.514,0.019,0.004,0.032,0.715,0.589,0.432,0.762,0.404,0.431,0.182,0.136,0.018,0.018,0.055,0,0.05,0.124,0.05,421,419
27Q314,"121-10 Rockaway Blvd, Queens, NY 11420",Epic High School - South,High School,399,0.73,0.71,0.78,0.74,0.88,0.84,0.411,0.589,0.258,0.258,0.316,0.07,0.02,0.053,0.899,0.709,0.682,0.927,0.591,0.327,0.212,0.172,0.03,0.02,0.01,0,0.104,0.339,0.042,416,436
27Q323,"320 Beach 104th St, Queens, NY 11694",Scholars' Academy,High School,654,0.85,0.92,0.86,0.94,0.92,0.94,0.563,0.437,0.168,0.167,0.202,0.008,0.005,0.44,0.876,0.675,0.557,1,0.913,0.864,0.049,0.25,0.136,0.25,0.207,0,0.816,0.721,0.894,598,579
27Q324,"100-00 Beach Channel Dr, Queens, NY 11694",Rockaway Park High School for Environmental Sustai,High School,264,0.68,0.74,0.77,0.72,0.81,0.79,0.402,0.598,0.015,0.473,0.371,0.011,0,0.106,0.863,0.713,0.564,0.828,0.452,0.256,0.229,0.057,0.014,0.029,0.014,0,0.016,0.078,0.203,374,414
27Q334,"94-25 117th St, Queens, NY 11419",Epic High School - North,High School,416,No Data,No Data,No Data,0.6,0.67,0.74,0.416,0.584,0.262,0.118,0.478,0.029,0.022,0.043,0.852,0.731,0.561,0.928,0.71,0.593,0.345,0.198,0.034,0.026,0.034,0,0.11,0.142,0.009,439,441
27Q351,"100-00 Beach Channel Dr, Queens, NY 11694",Rockaway Collegiate High School,High School,301,0.75,0.74,0.78,0.84,0.87,0.86,0.472,0.528,0.013,0.498,0.405,0.007,0.003,0.063,0.753,0.482,0.352,0.78,0.341,0.273,0.212,0.012,0.012,0,0.071,0,0.024,0.066,0.133,391,389
27Q400,"156-10 Baisley Blvd, Queens, NY 11434",August Martin High School,High School,418,0.84,0.97,0.86,0.99,0.87,0.95,0.419,0.581,0.115,0.624,0.177,0.045,0.005,0.017,0.84,0.593,0.49,0.962,0.69,0.353,0.238,0.038,0.025,0.038,0.075,0,0.101,0.241,0.215,426,428
27Q475,"89-30 114th St, Queens, NY 11418",Richmond Hill High School,High School,1600,0.73,0.83,0.78,0.87,0.84,0.89,0.461,0.539,0.274,0.12,0.492,0.047,0.017,0.039,0.879,0.741,0.618,0.745,0.77,0.486,0.268,0.229,0.046,0.023,0.037,0,0.085,0.148,0.537,440,442
27Q480,"101-01 Rockaway Boulevard Ozone Park Queens, NY 11417",John Adams High School,High School,2450,0.72,0.85,0.76,0.85,0.86,0.88,0.478,0.522,0.347,0.257,0.331,0.009,0.014,0.035,0.895,0.811,0.702,0.837,0.628,0.367,0.268,0.133,0.018,0.029,0.026,0,0.123,0.143,0.416,437,434
27Q650," 94-06 104th St, Ozone Park, NY 11416","High School for Construction Trades, Engineering a",High School,1098,0.77,0.9,0.8,0.87,0.89,0.9,0.343,0.657,0.312,0.084,0.363,0.042,0.013,0.124,0.925,0.817,0.747,0.988,0.943,0.791,0.212,0.394,0.027,0.131,0.073,0,0.545,0.377,0.568,530,503
28Q157,"63-55 102nd St, Queens, NY 11374",J.H.S. 157 Stephen A. Halsey,High School,22,0.81,0.91,0.84,0.94,0.91,0.94,0.318,0.682,0.182,0.318,0.136,0,0,0.364,0.838,No Data,0.533,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,0,0
28Q167,"91-30 Metropolitan Ave, Queens, NY 11375",Metropolitan Expeditionary Learning School,High School,452,0.8,0.95,0.86,0.92,0.91,0.94,0.462,0.538,0.164,0.164,0.42,0.046,0.022,0.15,0.89,0.679,0.615,1,0.925,0.804,0.192,0.327,0.125,0.125,0.096,0,0.245,0.23,0.078,471,485
28Q284,"108-35 167th St, Queens, NY 11433",York Early College Academy,High School,364,0.88,0.93,0.84,0.93,0.94,0.93,0.558,0.442,0.214,0.486,0.091,0.135,0.036,0.014,0.95,0.897,0.845,0.989,0.982,0.893,0.131,0.488,0.071,0.107,0.155,0,0.511,0.342,0.967,530,537
28Q310,"167-01 Gothic Dr, Queens, NY 11432",Queens Collegiate: A College Board School,High School,378,0.74,0.81,0.79,0.88,0.88,0.9,0.5,0.5,0.272,0.341,0.188,0.079,0.026,0.029,0.839,0.66,0.54,0.911,0.804,0.582,0.311,0.217,0.038,0.028,0.085,0,0.188,0.321,0.563,467,454
28Q325,"167-01 Gothic Dr, Queens, NY 11432",Hillside Arts & Letters Academy,High School,454,0.83,0.96,0.88,0.95,0.86,0.95,0.537,0.463,0.154,0.419,0.304,0.035,0.024,0.031,0.951,0.918,0.866,0.962,0.726,0.542,0.282,0.164,0.027,0.073,0.1,0,0.057,0.238,0,406,436
28Q328,"167-01 Gothic Dr, Queens, NY 11432",High School for Community Leadership,High School,468,0.85,0.93,0.87,0.95,0.88,0.93,0.498,0.502,0.216,0.321,0.321,0.019,0.017,0.051,0.929,0.835,0.808,0.96,0.951,0.754,0.402,0.157,0.049,0.157,0.059,0,0.214,0.056,0.96,452,456
28Q350,"167-01 Gothic Dr, Queens, NY 11432",Jamaica Gateway to the Sciences,High School,492,0.79,0.85,0.82,0.9,0.88,0.89,0.463,0.537,0.329,0.323,0.185,0.065,0.022,0.026,0.918,0.787,0.735,0.927,0.857,0.736,0.252,0.333,0.065,0.049,0.106,0,0.35,0.313,0.439,499,480
28Q440," 67-01 110th St, Queens, NY 11375",Forest Hills High School,High School,3775,0.73,0.88,0.76,0.89,0.84,0.89,0.508,0.492,0.242,0.065,0.38,0.009,0.005,0.273,0.92,0.848,0.772,0.916,0.832,0.694,0.219,0.252,0.045,0.139,0.111,0,0.393,0.378,0.197,512,493
28Q505,"160-05 Highland Ave, Queens, NY 11432",Hillcrest High School,High School,2880,0.72,0.86,0.78,0.85,0.84,0.87,0.519,0.481,0.301,0.262,0.34,0.046,0.01,0.033,0.867,0.708,0.558,0.816,0.715,0.499,0.305,0.212,0.016,0.034,0.038,0,0.163,0.194,0.398,452,455
28Q620,"165-65 84th Ave, Queens, NY 11432",Thomas A. Edison Career and Technical Education Hi,High School,2335,0.77,0.87,0.78,0.86,0.85,0.87,0.373,0.627,0.497,0.152,0.229,0.049,0.012,0.036,0.949,0.931,0.86,0.949,0.934,0.856,0.18,0.393,0.02,0.142,0.108,0,0.599,0.241,0.381,551,515
28Q680,"160-20 Goethals Ave, Queens, NY 11432",Queens Gateway to Health Sciences Secondary School,High School,442,0.79,0.75,0.77,0.67,0.81,0.73,0.586,0.414,0.489,0.242,0.093,0.066,0.014,0.032,0.955,0.902,0.85,0.978,0.94,0.929,0.163,0.38,0.043,0.207,0.141,0,0.63,0.717,0.13,560,561
28Q686,"91-30 Metropolitan Ave, Queens, NY 11375",Queens Metropolitan High School,High School,1065,0.76,0.9,0.84,0.91,0.9,0.9,0.502,0.498,0.098,0.034,0.426,0.004,0.002,0.432,0.95,0.931,0.847,0.859,0.804,0.664,0.218,0.304,0.017,0.104,0.09,0,0.352,0.21,0.576,494,492
28Q687,"94-50 159th St, Jamaica, NY 11451",Queens High School for the Sciences at York Colleg,High School,511,0.78,0.6,0.78,0.56,0.78,0.75,0.438,0.562,0.828,0.033,0.039,0.004,0.008,0.043,0.969,0.947,0.93,1,0.98,0.968,0.009,0.248,0.239,0.283,0.195,0,0.977,0.988,1,740,679
