,principal component 1,principal component 2,borough,clusters
201,1.095768943,-0.414846201,Bronx,2
202,-0.12886012,-0.648300981,Bronx,0
203,1.752505556,-0.230529529,Bronx,2
204,1.332146526,-0.166964811,Bronx,2
205,-0.731246244,-0.813847831,Bronx,0
206,1.172374699,-0.001139247,Bronx,2
207,0.5309297,-0.394106016,Bronx,0
208,-0.140569847,-0.552817183,Bronx,0
209,2.14086465,-0.04531662,Bronx,2
210,0.85991369,-0.147865059,Bronx,2
211,1.016783162,-0.126573062,Bronx,2
212,1.044621664,-0.548883825,Bronx,2
213,2.042232424,0.527543917,Bronx,2
214,1.825620721,0.231867485,Bronx,2
215,0.348664523,-0.691231546,Brooklyn,0
216,1.801857445,-0.244820952,Brooklyn,2
217,1.132286215,0.315035942,Brooklyn,2
218,-1.411301041,-0.8730857,Brooklyn,0
219,-6.528100322,5.708416979,Brooklyn,1
220,5.733165184,-0.419609131,Brooklyn,2
221,-0.671702676,-0.546300458,Brooklyn,0
222,0.631781998,-0.558850923,Brooklyn,0
223,1.386186295,-0.456448157,Brooklyn,2
224,-1.635494951,-0.910212337,Brooklyn,0
225,-0.025824567,-0.019177389,Brooklyn,0
226,-1.226696768,-0.143159563,Brooklyn,0
227,-0.631556896,-0.476740087,Brooklyn,0
228,2.48079696,0.739832053,Brooklyn,2
229,-3.045597843,-0.237608812,Brooklyn,1
230,0.39195881,-0.771088533,Brooklyn,0
231,2.132661506,0.628827894,Brooklyn,2
232,1.5383475,-0.007552226,Brooklyn,2
233,0.501014329,0.17605656,Brooklyn,0
234,0.233714679,0.341469867,Brooklyn,0
235,-1.112684826,-0.702170877,Brooklyn,0
236,-1.04637351,-0.485750569,Brooklyn,0
237,2.256865534,0.49917777,Brooklyn,2
238,0.881406428,-0.267578562,Brooklyn,2
239,0.571040531,-0.561610032,Brooklyn,0
240,2.059494797,-0.197744585,Brooklyn,2
241,-0.494356126,-0.851436406,Brooklyn,0
242,0.944865214,0.01728999,Brooklyn,2
243,-0.239800842,-0.18173113,Brooklyn,0
244,1.47973499,0.058341689,Brooklyn,2
245,1.043716296,0.44790672,Brooklyn,2
246,0.041944388,-0.535516705,Brooklyn,0
247,1.054479808,0.243812433,Brooklyn,2
248,1.160751394,-0.387179318,Brooklyn,2
249,-0.817285122,0.05272406,Brooklyn,0
250,0.521215539,1.051873226,Brooklyn,0
251,-4.47397402,-0.793963668,Brooklyn,1
252,1.787599821,0.262223979,Brooklyn,2
253,0.361754939,-0.591472094,Brooklyn,0
254,0.376646031,0.34183517,Brooklyn,0
255,1.429436935,-0.538921505,Brooklyn,2
256,5.349868552,-1.014298617,Brooklyn,2
257,1.086288649,0.355432052,Brooklyn,2
258,1.284636282,-0.452951161,Brooklyn,2
259,1.696806097,-0.223242911,Brooklyn,2
260,1.2433125,-0.086493688,Brooklyn,2
261,-0.181540376,-0.819366962,Brooklyn,0
262,0.979100898,-0.225043423,Brooklyn,2
263,0.96630679,-0.227862163,Brooklyn,2
264,1.482592872,-0.266250655,Brooklyn,2
265,-1.623907964,-0.864445066,Brooklyn,0
266,-0.574888491,-0.217875303,Brooklyn,0
267,0.546812054,-0.251663695,Brooklyn,0
268,1.23319843,-0.094859496,Brooklyn,2
269,-2.893429281,-0.12178934,Brooklyn,1
270,1.395990385,1.314549245,Brooklyn,2
271,-0.030222012,-0.382159207,Brooklyn,0
272,0.974881861,-0.31688754,Brooklyn,2
273,1.114947212,0.241017832,Brooklyn,2
274,1.503354825,-0.102265711,Brooklyn,2
275,2.052827149,0.327443066,Brooklyn,2
276,2.33026303,0.829479682,Brooklyn,2
277,1.268335162,0.043027071,Brooklyn,2
278,1.020176592,-0.118582035,Brooklyn,2
279,1.087404355,-0.228796687,Brooklyn,2
280,0.053038263,-0.352705432,Brooklyn,0
281,0.16709182,-1.033947358,Brooklyn,0
