,x,y,borough,clusters
334,-187.6739924,-20.26775575,Queens,0
335,488.5288392,309.2079762,Queens,1
336,739.8695789,393.1691503,Queens,0
337,1193.01682,682.4711628,Queens,1
338,-25.49770164,-0.72293601,Queens,0
339,-209.8997487,-10.92411968,Queens,0
340,-154.151449,-232.2947381,Queens,1
341,-179.9117595,-150.8255288,Queens,0
342,-293.3924522,31.80986061,Queens,1
343,-198.1996185,-192.2505838,Queens,1
344,2402.123878,1119.561947,Queens,0
345,706.8958414,311.0730767,Queens,0
346,433.1121253,567.0650015,Queens,1
347,1.046950007,27.96237405,Queens,0
348,2469.749561,1242.447245,Queens,1
349,3530.083214,1359.05258,Queens,1
350,455.2292069,200.086708,Queens,0
351,2030.549482,1097.508296,Queens,1
352,285.1448429,136.9412858,Queens,0
353,-331.1923223,-226.0906687,Queens,2
354,53.72005656,30.10348471,Queens,0
355,-126.7536308,-97.4747596,Queens,0
356,-55.62024964,18.47044565,Queens,0
357,-150.7632776,-109.1954458,Queens,2
358,-213.4054139,-127.0764753,Queens,0
359,-55.02809131,172.9052905,Queens,1
360,-321.7797663,-223.6508482,Queens,2
361,-203.8349874,-103.60059,Queens,0
362,-287.3746886,-210.7117151,Queens,2
363,-196.0832509,-118.3662357,Queens,0
364,864.3719457,410.3318842,Queens,0
365,1603.330553,832.6868813,Queens,0
366,376.7417509,272.4739877,Queens,1
367,-361.0506709,-820.9514972,Queens,2
368,-187.5548958,-43.85930386,Queens,0
369,-296.1554077,-6.353882137,Queens,1
370,-248.6471749,-92.14345033,Queens,0
371,-158.8695689,-112.3884769,Queens,0
372,-162.0996053,-66.85477564,Queens,0
373,-156.2144761,-13.07132359,Queens,0
374,2876.360831,1237.940197,Queens,1
375,2024.389397,950.2466581,Queens,0
376,1484.329882,821.3344045,Queens,1
377,-235.9683416,57.71716139,Queens,1
378,359.8361157,229.037688,Queens,0
379,-248.6118863,281.308408,Queens,1
380,-212.2719483,-141.6247277,Queens,2
381,-201.9637694,-236.1496306,Queens,0
382,-153.7358699,-83.82480902,Queens,0
383,-351.8594987,-215.0410352,Queens,2
384,-271.7682115,-151.0195497,Queens,0
385,-207.3933182,-137.4522653,Queens,0
386,-266.1704952,-140.2621689,Queens,0
387,-281.7747561,-141.2101209,Queens,0
388,-201.2184472,-99.21085805,Queens,0
389,-261.0848891,-125.2394665,Queens,0
390,-368.7100838,-183.9744447,Queens,0
391,-256.8115219,-157.494173,Queens,2
392,-210.1969679,-153.3958988,Queens,0
393,-125.7535621,5.947895497,Queens,1
394,-335.0198259,-49.50123309,Queens,0
395,-82.75829153,14.73932118,Queens,0
396,1343.060544,662.6052983,Queens,0
397,1359.151028,666.0662766,Queens,0
398,170.2270914,188.0100868,Queens,1
399,277.7737606,126.5889662,Queens,0
400,52.08168462,-32.90138968,Queens,2
401,381.4151642,310.6401702,Queens,1
402,35.56689882,-233.4548958,Queens,1
403,-477.1736235,-240.813961,StatenIsland,2
404,-170.4245031,63.10190667,StatenIsland,1
405,-210.5374111,-48.2040042,StatenIsland,0
406,-143.237068,-19.50807316,StatenIsland,0
407,2198.876514,1159.696499,StatenIsland,1
408,800.9864953,399.2599018,StatenIsland,0
409,1616.019059,819.4639889,StatenIsland,0
410,2810.423796,1267.733307,StatenIsland,1
411,2423.409653,1166.672908,StatenIsland,1
412,178.5551292,78.9153098,StatenIsland,2
413,476.3048631,627.5661535,StatenIsland,1
414,-188.1649316,-171.9549581,Brooklyn,0
415,-334.3509861,-214.1845054,Brooklyn,2
416,-136.4284649,-119.9408382,Brooklyn,2
417,-293.4658337,-190.7377693,Brooklyn,2
418,-228.6332732,-165.1404802,Brooklyn,0
419,-416.7583892,-12.4266502,Brooklyn,1
420,-238.7367091,-157.4786783,Brooklyn,2
