Graduation,ps_enroll_male,APScoreQualified,satMath,satWrt,borough
0.919,0.857,0.23,448,457,Bronx
0.78,0.327,0.118,379,404,Bronx
0.8,0.4,0.147,411,402,Bronx
0.957,0.465,0.263,436,444,Bronx
0.723,0.311,0.077,396,395,Bronx
0.789,0.283,0.149,412,403,Bronx
0.933,0.595,0.4,442,454,Bronx
0.783,0.328,0.112,434,418,Bronx
0.904,0.347,0.566,385,374,Bronx
0.949,0.559,0.192,448,453,Bronx
0.8,0.162,0.031,385,399,Bronx
0.871,0.302,0.257,416,428,Bronx
0.77,0.431,0.1,407,413,Bronx
0.916,0.269,0.191,393,395,Bronx
0.814,0.433,0.013,389,400,Bronx
0.713,0.195,0.132,408,423,Bronx
0.9,0.423,0.173,429,440,Brooklyn
0.826,0.389,0.021,383,390,Brooklyn
0.846,0.458,0.127,417,428,Brooklyn
0.994,0.743,0.289,461,464,Brooklyn
0.961,0.832,0.973,720,663,Brooklyn
0.804,0.523,0,0,0,Brooklyn
0.926,0.81,0.146,459,458,Brooklyn
0.967,0,0.328,432,448,Brooklyn
0.882,0.524,0.015,362,411,Brooklyn
0.976,0.722,0.361,493,495,Brooklyn
0.906,0.618,0.188,437,438,Brooklyn
0.963,0.62,0.335,487,478,Brooklyn
0.962,0.672,0.25,465,461,Brooklyn
0.548,0.5,0.023,388,392,Brooklyn
0.975,0.841,0.012,675,640,Brooklyn
0.959,0.455,0.079,410,412,Brooklyn
0.717,0.226,0.045,404,413,Brooklyn
0.78,0.279,0.11,409,415,Brooklyn
0.847,0.493,0.123,439,440,Brooklyn
0.944,0.702,0.324,433,458,Brooklyn
0.98,0.695,0.344,438,456,Brooklyn
0.988,0.613,0.343,458,456,Brooklyn
0.786,0.289,0,414,428,Brooklyn
0.855,0.456,0.178,408,411,Brooklyn
0.965,0,0.377,437,455,Brooklyn
0.766,0.138,0,387,408,Brooklyn
0.972,0.688,0.243,426,437,Brooklyn
0.925,0.548,0,435,440,Brooklyn
0.862,0.593,0.323,451,456,Brooklyn
0.708,0.393,0.11,420,422,Brooklyn
0.813,0.554,0.148,448,448,Brooklyn
0.922,0.545,0.118,448,457,Brooklyn
0.84,0.59,0.134,409,419,Brooklyn
0.811,0.414,0.019,436,417,Brooklyn
0.935,0.642,0.311,446,471,Brooklyn
0.888,0.493,0.137,443,429,Brooklyn
0.994,0.935,0.867,608,604,Brooklyn
0.827,0.323,0.065,399,402,Brooklyn
0.986,0.468,0.215,412,402,Brooklyn
0.833,0.684,0.22,438,439,Brooklyn
0.826,0.429,0.063,383,387,Brooklyn
0.909,0.368,0.111,0,0,Brooklyn
0.783,0.544,0.009,436,435,Brooklyn
0.8,0.39,0.05,403,401,Brooklyn
0.836,0.344,0.025,380,398,Brooklyn
0.807,0.462,0.235,386,392,Brooklyn
0.87,0.59,0.272,427,433,Brooklyn
0.885,0.421,0.16,415,425,Brooklyn
0.855,0.47,0.053,399,412,Brooklyn
0.853,0.385,0.043,400,395,Brooklyn
1,0.721,0.312,509,499,Brooklyn
0.917,0.621,0.389,454,470,Brooklyn
0.826,0.385,0.207,434,456,Brooklyn
0.818,0.545,0.104,392,412,Brooklyn
0.962,0.721,0.778,547,540,Brooklyn
0.796,0.292,0.047,418,426,Brooklyn
0.916,0.524,0.205,431,446,Brooklyn
0.891,0.455,0.145,401,418,Brooklyn
0.802,0.449,0.133,422,429,Brooklyn
0.837,0.325,0.112,415,417,Brooklyn
0.763,0.268,0.119,395,419,Brooklyn
0.685,0.526,0.123,401,413,Brooklyn
0.855,0.459,0.21,400,417,Brooklyn
0.782,0.545,0.136,416,432,Brooklyn
0.871,0.476,0.153,398,427,Brooklyn
0.897,0.606,0.171,425,446,Brooklyn
0.955,0.489,0.104,394,410,Brooklyn
0.66,0.311,0.063,381,411,Brooklyn
0.921,0.481,0.188,429,454,Brooklyn
0.985,0.583,0.303,450,445,Brooklyn
0.839,0.667,0.145,414,422,Brooklyn
0.741,0.238,0.046,399,407,Brooklyn
0.714,0.25,0.048,385,400,Brooklyn
0.867,0.283,0.24,400,407,Brooklyn
0.696,0.333,0.018,378,396,Brooklyn
0.875,0.382,0.75,382,378,Brooklyn
0.868,0.64,0.114,404,419,Brooklyn
0.915,0.495,0.182,450,447,Brooklyn
0.914,0.488,0.242,419,415,Brooklyn
